objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
ushmm001,194x.04.10--1_To_From.png,,Letter to To from From,Creator Unkown,10/04/1944,"uebernahme durch SS-Gruf. Nebe kommt nicht in Frage – wenn, dann durch SS-Ogruf. Pohl",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.04.10--1_To_From,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm002,194x.xx.xx--1_Brandt_Kammler-English.png,,Letter to Brandt from Kammler,Kammler,1944,English,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.xx.xx--1_Brandt_Kammler-English,,,English,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm003,194x.xx.xx--1_Frosch_From.png,,Letter to Frosch from From,Creator Unkown,1944,Saur writes that Halle 1 will be ready September 15,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.xx.xx--1_Frosch_From,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm004,194x.xx.xx--1_Himmler_Saur-English.png,,Letter to Himmler from Saur,Saur,1944,English,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.xx.xx--1_Himmler_Saur-English,,,English,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm005,194x.xx.xx--1_To_From-HandDrawnMapEnglish.png,,Letter to To from From,Creator Unkown,1944,HandDrawnMapEnglish,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.xx.xx--1_To_From-HandDrawnMapEnglish,,,English,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm006,194x.xx.xx--1_To_From-HandwrittenNote.png,,Letter to To from From,Creator Unkown,1944,HandwrittenNote,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.xx.xx--1_To_From-HandwrittenNote,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm007,194x.xx.xx--2_To_From-HandwrittenNote.png,,Letter to To from From,Creator Unkown,1944,HandwrittenNote,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.xx.xx--2_To_From-HandwrittenNote,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm008,194x.xx.xx-DLB10-1_Berger_Kammler.png,,Letter to Berger from Kammler,Kammler,1944,,RAD- Unterkuenfte Hersbruck und St. Margarethen,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",194x.xx.xx-DLB10-1_Berger_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm009,1939.11.06-2657-1_To_From-HandDrawnGraph.png,,Letter to To from From,Creator Unkown,06/11/1939,HandDrawnGraph,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1939.11.06-2657-1_To_From-HandDrawnGraph,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm010,1943.06.20--1_To_Heicke.png,,Letter to To from Heicke,Heicke,20/06/1943,King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.06.20--1_To_Heicke,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm011,1943.07.01--1_To_From.png,,Letter to To from From,Creator Unkown,01/07/1943,King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.01--1_To_From,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm012,1943.07.08-29-1_Himmler_Pancke.png,,Letter to Himmler from Pancke,Pancke,08/07/1943,King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.08-29-1_Himmler_Pancke,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm013,1943.07.08-29-2_Himmler_Pancke.png,,Letter to Himmler from Pancke,Pancke,08/07/1943,King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.08-29-2_Himmler_Pancke,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm014,1943.07.10-29-1_Himmler_Standartenführer.png,,Letter to Himmler from Standartenführer,Standartenführer,10/07/1943,King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.10-29-1_Himmler_Standartenführer,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm015,1943.07.10-29-2_Himmler_Standartenführer.png,,Letter to Himmler from Standartenführer,Standartenführer,10/07/1943,King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.10-29-2_Himmler_Standartenführer,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm016,1943.07.15--1_Feissner_Brandt-RecieptofPayment.png,,Letter to Feissner from Brandt,Brandt,15/07/1943,Reciept of Payment in regards to King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.15--1_Feissner_Brandt-RecieptofPayment,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm017,1943.07.16-29-1_Pancke_Brandt.png,,Letter to Pancke from Brandt,Brandt,16/07/1943,King Henry Celebration in Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.16-29-1_Pancke_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm018,1943.07.16-29-1_Sievers_Brandt.png,,Letter to Sievers from Brandt,Brandt,16/07/1943,Quedlinburg repairs,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.16-29-1_Sievers_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm019,1943.07.23-29-1_Brandt_From.png,,Letter to Brandt from From,Creator Unkown,23/07/1943,Reply on Quedlinburg repairs,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.23-29-1_Brandt_From,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm020,1943.07.31-29-1_Sievers_Brandt.png,,Letter to Sievers from Brandt,Brandt,31/07/1943,Reply on Quedlinburg repairs,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.07.31-29-1_Sievers_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm021,1943.09.01-173-1_Heissmeyer_Grothmann.png,,Letter to Heissmeyer from Grothmann,Grothmann,01/09/1943,Make room for Kammler's school,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.09.01-173-1_Heissmeyer_Grothmann,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm022,1943.09.01-173-2_Heissmeyer_Grothmann.png,,Letter to Heissmeyer from Grothmann,Grothmann,01/09/1943,Make room for Kammler's school,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.09.01-173-2_Heissmeyer_Grothmann,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm023,1943.09.02-173-1_Heissmeyer_Himmler.png,,Letter to Heissmeyer from Himmler,Himmler,02/09/1943,"Himmler to Heissmeyer, I won't change position on the Ihlfeld decision I'll tell you why in person, the next time we meet.",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.09.02-173-1_Heissmeyer_Himmler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm024,1943.09.03-173-1_Himmler_Heissmeyer.png,,Letter to Himmler from Heissmeyer,Heissmeyer,03/09/1943,"Heissmeyer to Himmler, I've done my best in the past, I'll do what I can now to prepare Ihlfeld for Kammler",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.09.03-173-1_Himmler_Heissmeyer,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm025,1943.09.05-173-1_Heissmeyer_Himmler.png,,Letter to Heissmeyer from Himmler,Himmler,05/09/1943,"Himmler to Heissmeyer, many thanks, I'll talk to you about Juul op  ten Noort soon",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.09.05-173-1_Heissmeyer_Himmler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
